agent,wins,win_rate,fleets_total,lifetime_mean,lifetime_std,lifetime_min,lifetime_max,out_of_bounds,sun_crashes
src,2,20%,2259,5.73,4.32,1,47,0,0
tgt,8,80%,2680,5.74,4.23,1,44,0,0
